file_name,approach,batch_size,datasets,lr,nepochs,alpha,kd_temperature,kd_weight,lamb,num_exemplars,TAw_Acc_last_avg,TAg_Acc_last_avg,TAw_Forg_last_avg,TAg_Forg_last_avg
KD_EWC_nt5_ft50_lamb3000_alpha0.3_kdW3.0_kdT4.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,4.0,3.0,3000.0,5000,21.8,4.0,43.7,30.1
KD_EWC_nt5_ft50_lamb2000_alpha0.7_kdW1.0_kdT4.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,4.0,1.0,2000.0,2000,26.4,8.9,53.4,47.9
KD_EWC_nt5_ft20_lamb200_alpha0.5_kdW2.0_kdT3.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,3.0,2.0,200.0,2000,17.6,7.0,44.5,32.9
KD_EWC_nt5_ft50_lamb2000_alpha0.5_kdW1.0_kdT2.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,2.0,1.0,2000.0,5000,26.9,7.9,52.0,41.8
KD_EWC_nt5_ft50_lamb2000_alpha0.3_kdW3.0_kdT4.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,4.0,3.0,2000.0,2000,21.6,3.9,44.7,29.3
KD_EWC_nt5_ft50_lamb500_alpha0.3_kdW0.5_kdT5.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,5.0,0.5,500.0,5000,28.2,11.8,53.4,54.4
KD_EWC_nt5_ft20_lamb200_alpha0.7_kdW2.0_kdT5.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,5.0,2.0,200.0,5000,,,,
KD_EWC_nt5_ft50_lamb500_alpha0.7_kdW2.0_kdT2.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,2.0,2.0,500.0,5000,20.9,3.8,52.1,33.1
KD_EWC_nt5_ft20_lamb200_alpha0.3_kdW0.5_kdT2.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,2.0,0.5,200.0,5000,22.3,11.3,54.0,50.8
KD_EWC_nt5_ft20_lamb2000_alpha0.3_kdW1.0_kdT3.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,3.0,1.0,2000.0,2000,20.0,8.3,45.1,41.5
KD_EWC_nt5_ft20_lamb2000_alpha0.5_kdW3.0_kdT5.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,5.0,3.0,2000.0,5000,15.4,5.8,32.6,25.8
KD_EWC_nt5_ft50_lamb500_alpha0.5_kdW2.0_kdT4.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,4.0,2.0,500.0,2000,21.9,6.2,54.3,37.3
KD_EWC_nt5_ft20_lamb3000_alpha0.3_kdW1.0_kdT3.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,3.0,1.0,3000.0,5000,20.3,9.0,40.6,38.9
KD_EWC_nt5_ft20_lamb3000_alpha0.5_kdW3.0_kdT5.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,5.0,3.0,3000.0,2000,14.5,4.2,30.9,25.1
KD_EWC_nt5_ft50_lamb200_alpha0.5_kdW2.0_kdT3.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,3.0,2.0,200.0,5000,21.0,4.0,53.0,34.1
KD_EWC_nt5_ft50_lamb200_alpha0.7_kdW2.0_kdT5.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,5.0,2.0,200.0,2000,22.5,6.6,55.4,38.3
KD_EWC_nt5_ft20_lamb3000_alpha0.7_kdW3.0_kdT3.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,3.0,3.0,3000.0,5000,,,,
KD_EWC_nt5_ft20_lamb500_alpha0.3_kdW0.5_kdT5.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,5.0,0.5,500.0,2000,23.0,12.8,52.5,52.8
KD_EWC_nt5_ft20_lamb2000_alpha0.3_kdW2.0_kdT3.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,3.0,2.0,2000.0,5000,16.6,6.5,38.7,31.2
KD_EWC_nt5_ft50_lamb500_alpha0.7_kdW1.0_kdT2.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,2.0,1.0,500.0,2000,23.3,7.0,58.3,42.7
KD_EWC_nt5_ft50_lamb2000_alpha0.3_kdW0.5_kdT3.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,3.0,0.5,2000.0,5000,32.2,13.0,47.7,50.5
KD_EWC_nt5_ft50_lamb500_alpha0.5_kdW1.0_kdT4.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,4.0,1.0,500.0,5000,25.1,7.5,55.5,47.3
KD_EWC_nt5_ft50_lamb500_alpha0.3_kdW3.0_kdT2.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,2.0,3.0,500.0,2000,20.9,3.4,49.1,26.9
KD_EWC_nt5_ft20_lamb3000_alpha0.3_kdW2.0_kdT3.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,3.0,2.0,3000.0,2000,16.2,6.0,36.3,29.4
KD_EWC_nt5_ft50_lamb200_alpha0.3_kdW3.0_kdT5.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,5.0,3.0,200.0,5000,22.3,5.4,48.4,31.2
KD_EWC_nt5_ft50_lamb200_alpha0.5_kdW1.0_kdT3.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,3.0,1.0,200.0,2000,23.7,6.8,56.2,44.9
KD_EWC_nt5_ft50_lamb3000_alpha0.3_kdW0.5_kdT3.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,3.0,0.5,3000.0,2000,34.5,13.9,44.8,49.1
KD_EWC_nt5_ft50_lamb200_alpha0.7_kdW1.0_kdT5.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,5.0,1.0,200.0,5000,23.5,9.0,59.9,48.8
KD_EWC_nt5_ft50_lamb3000_alpha0.7_kdW2.0_kdT4.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,4.0,2.0,3000.0,2000,23.9,5.6,49.7,38.3
KD_EWC_nt5_ft20_lamb3000_alpha0.5_kdW0.5_kdT2.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,2.0,0.5,3000.0,5000,24.4,10.7,41.6,44.3
KD_EWC_nt5_ft20_lamb500_alpha0.7_kdW1.0_kdT2.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,2.0,1.0,500.0,5000,20.2,9.2,51.2,42.5
KD_EWC_nt5_ft20_lamb500_alpha0.3_kdW3.0_kdT2.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,2.0,3.0,500.0,5000,15.0,5.4,38.0,26.5
KD_EWC_nt5_ft20_lamb3000_alpha0.7_kdW0.5_kdT4.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,4.0,0.5,3000.0,2000,25.0,11.0,42.2,46.9
KD_EWC_nt5_ft20_lamb500_alpha0.5_kdW1.0_kdT4.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,4.0,1.0,500.0,2000,20.2,10.8,50.3,44.4
KD_EWC_nt5_ft50_lamb3000_alpha0.5_kdW2.0_kdT2.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,2.0,2.0,3000.0,5000,23.1,4.4,47.8,33.1
KD_EWC_nt5_ft20_lamb200_alpha0.5_kdW1.0_kdT3.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,3.0,1.0,200.0,5000,18.9,10.0,54.6,45.8
KD_EWC_nt5_ft20_lamb200_alpha0.3_kdW3.0_kdT5.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.3,5.0,3.0,200.0,2000,16.9,6.9,37.1,28.0
KD_EWC_nt5_ft50_lamb2000_alpha0.7_kdW2.0_kdT4.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,4.0,2.0,2000.0,5000,23.8,5.4,50.4,35.6
KD_EWC_nt5_ft20_lamb2000_alpha0.5_kdW0.5_kdT2.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,2.0,0.5,2000.0,2000,24.3,11.1,43.6,45.3
KD_EWC_nt5_ft20_lamb200_alpha0.7_kdW1.0_kdT5.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,5.0,1.0,200.0,2000,20.6,11.3,53.4,47.7
KD_EWC_nt5_ft20_lamb2000_alpha0.7_kdW0.5_kdT4.0_ex5000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.7,4.0,0.5,2000.0,5000,25.4,11.5,43.3,48.3
KD_EWC_nt5_ft50_lamb2000_alpha0.5_kdW2.0_kdT2.0_ex2000_train_log.txt,multi_teacher_kd_ewc,64,['cifar100'],0.1,50,0.5,2.0,2.0,2000.0,2000,23.0,4.3,49.2,34.1
